0,002081b3,e3a41ed6,519b5c9e,353f7b74
1,402081b3,e3a41ed6,519b5c9e,9208c238
2,002091b3,e3a41ed6,519b5c9e,80000000
3,0020a1b3,e3a41ed6,519b5c9e,00000001
4,0020b1b3,e3a41ed6,519b5c9e,00000000
5,0020c1b3,e3a41ed6,519b5c9e,b23f4248
6,0020d1b3,e3a41ed6,519b5c9e,00000003
7,4020d1b3,e3a41ed6,519b5c9e,ffffffff
8,0020e1b3,e3a41ed6,519b5c9e,f3bf5ede
9,0020f1b3,e3a41ed6,519b5c9e,41801c96
10,022081b3,e3a41ed6,519b5c9e,dbf1f014
11,022091b3,e3a41ed6,519b5c9e,f6f5b7dd
12,0220a1b3,e3a41ed6,519b5c9e,f6f5b7dd
13,0220b1b3,e3a41ed6,519b5c9e,4891147b
14,60009193,e3a41ed6,00000000,00000000
15,60109193,e3a41ed6,00000000,00000001
16,60209193,e3a41ed6,00000000,00000011
17,602091b3,e3a41ed6,519b5c9e,b8e907b5
18,6020d1b3,e3a41ed6,519b5c9e,8e907b5b
19,0a20c1b3,e3a41ed6,519b5c9e,e3a41ed6
20,0a20e1b3,e3a41ed6,519b5c9e,519b5c9e
21,0a20d1b3,e3a41ed6,519b5c9e,519b5c9e
22,0a20f1b3,e3a41ed6,519b5c9e,e3a41ed6
23,282091b3,e3a41ed6,519b5c9e,e3a41ed6
24,482091b3,e3a41ed6,519b5c9e,a3a41ed6
25,4820d1b3,e3a41ed6,519b5c9e,00000001
26,0020818b,e3a41ed6,519b5c9e,000035fb
27,0020918b,e3a41ed6,519b5c9e,34807a80
28,0020a18b,e3a41ed6,519b5c9e,9209c238
29,0000b18b,e3a41ed6,00000000,1c5be12a
30,0000c18b,e3a41ed6,00000000,ffffff80
0,002081b3,4340d060,25b9ea0e,68faba6e
1,402081b3,4340d060,25b9ea0e,1d86e652
2,002091b3,4340d060,25b9ea0e,34180000
3,0020a1b3,4340d060,25b9ea0e,00000000
4,0020b1b3,4340d060,25b9ea0e,00000000
5,0020c1b3,4340d060,25b9ea0e,66f93a6e
6,0020d1b3,4340d060,25b9ea0e,00010d03
7,4020d1b3,4340d060,25b9ea0e,00010d03
8,0020e1b3,4340d060,25b9ea0e,67f9fa6e
9,0020f1b3,4340d060,25b9ea0e,0100c000
10,022081b3,4340d060,25b9ea0e,61632540
11,022091b3,4340d060,25b9ea0e,09e93571
12,0220a1b3,4340d060,25b9ea0e,09e93571
13,0220b1b3,4340d060,25b9ea0e,09e93571
14,60009193,4340d060,00000000,00000001
15,60109193,4340d060,00000000,00000005
16,60209193,4340d060,00000000,00000009
17,602091b3,4340d060,25b9ea0e,341810d0
18,6020d1b3,4340d060,25b9ea0e,41810d03
19,0a20c1b3,4340d060,25b9ea0e,25b9ea0e
20,0a20e1b3,4340d060,25b9ea0e,4340d060
21,0a20d1b3,4340d060,25b9ea0e,25b9ea0e
22,0a20f1b3,4340d060,25b9ea0e,4340d060
23,282091b3,4340d060,25b9ea0e,4340d060
24,482091b3,4340d060,25b9ea0e,43409060
25,4820d1b3,4340d060,25b9ea0e,00000001
26,0020818b,4340d060,25b9ea0e,0000014f
27,0020918b,4340d060,25b9ea0e,68f9ba6e
28,0020a18b,4340d060,25b9ea0e,1e7fe652
29,0000b18b,4340d060,00000000,4340d060
30,0000c18b,4340d060,00000000,0000007f
0,002081b3,74fcfcb0,c4381012,39350cc2
1,402081b3,74fcfcb0,c4381012,b0c4ec9e
2,002091b3,74fcfcb0,c4381012,f2c00000
3,0020a1b3,74fcfcb0,c4381012,00000000
4,0020b1b3,74fcfcb0,c4381012,00000001
5,0020c1b3,74fcfcb0,c4381012,b0c4eca2
6,0020d1b3,74fcfcb0,c4381012,00001d3f
7,4020d1b3,74fcfcb0,c4381012,00001d3f
8,0020e1b3,74fcfcb0,c4381012,f4fcfcb2
9,0020f1b3,74fcfcb0,c4381012,44381010
10,022081b3,74fcfcb0,c4381012,1014c460
11,022091b3,74fcfcb0,c4381012,e4ae5376
12,0220a1b3,74fcfcb0,c4381012,59ab5026
13,0220b1b3,74fcfcb0,c4381012,59ab5026
14,60009193,74fcfcb0,00000000,00000001
15,60109193,74fcfcb0,00000000,00000004
16,60209193,74fcfcb0,00000000,00000013
17,602091b3,74fcfcb0,c4381012,f2c1d3f3
18,6020d1b3,74fcfcb0,c4381012,3f2c1d3f
19,0a20c1b3,74fcfcb0,c4381012,c4381012
20,0a20e1b3,74fcfcb0,c4381012,74fcfcb0
21,0a20d1b3,74fcfcb0,c4381012,74fcfcb0
22,0a20f1b3,74fcfcb0,c4381012,c4381012
23,282091b3,74fcfcb0,c4381012,74fcfcb0
24,482091b3,74fcfcb0,c4381012,74f8fcb0
25,4820d1b3,74fcfcb0,c4381012,00000001
26,0020818b,74fcfcb0,c4381012,ffffde10
27,0020918b,74fcfcb0,c4381012,38340cc2
28,0020a18b,74fcfcb0,c4381012,7fc4ec9e
29,0000b18b,74fcfcb0,00000000,74fcfcb0
30,0000c18b,74fcfcb0,00000000,0000007f
0,002081b3,e8eb18b3,f23568b1,db208164
1,402081b3,e8eb18b3,f23568b1,f6b5b002
